"candidate_id","title","years","location","country","skills","evidence_summary","concern_summary","response_rate","notice_period_days","last_active_date","technical_recruiter_label","technical_recruiter_notes"
"CAND_0067514","Mechanical Engineer","4.6","New York","USA","Vue.js, CSS, Java, Next.js, Kubeflow, Django, Rust, LangChain, Sentence Transformers, FAISS, Pinecone, Embeddings, LLMs, Fine-tuning LLMs","6 retrieval/search skills; 1 career IR hints; 4 production hints","services-only career","0.56","90.0","2026-01-09","",""
"CAND_0080683","Business Analyst","2.7","Mumbai, Maharashtra","India","SQL, Data Science, Flask, Data Pipelines, Illustrator, Kafka, Redis, Marketing, Angular, PowerPoint, TypeScript, Vector Search, Embeddings, Prompt Engineering","6 retrieval/search skills; 1 career IR hints; 3 production hints","services-only career","0.68","90.0","2026-02-01","",""
"CAND_0044855","Senior Data Scientist","6.6","Coimbatore, Tamil Nadu","India","Object Detection, Learning to Rank, Hugging Face Transformers, OpenSearch, BentoML, Information Retrieval, Pinecone, Machine Learning, Vector Search, NLP, Forecasting, QLoRA, Data Science, Statistical Modeling","role title; 7 retrieval/search skills; 11 career IR hints; 3 production hints","no major structural concern","0.57","60.0","2026-04-24","",""
"CAND_0088025","Staff Machine Learning Engineer","8.6","Jaipur, Rajasthan","India","Pinecone, QLoRA, LLMs, Hugging Face Transformers, RAG, SAP, TensorFlow, LoRA, Flask, Prompt Engineering, BM25, Elasticsearch, MLOps, pgvector","role title; 6 retrieval/search skills; 8 career IR hints; 2 production hints","no major structural concern","0.83","90.0","2026-05-14","",""
"CAND_0024947","AI Research Engineer","6.1","Trivandrum, Kerala","India","YOLO, Milvus, Hugging Face Transformers, Information Retrieval, Kubeflow, Python, OpenSearch, MongoDB, QLoRA, LoRA, Time Series, ASR, Image Classification, Feature Engineering","role title; 4 retrieval/search skills; 1 career IR hints; 1 production hints","services-only career","0.79","30.0","2026-03-17","",""
"CAND_0059504","Junior ML Engineer","3.3","Berlin","Germany","Vector Search, Machine Learning, CNN, YOLO, MLflow, Information Retrieval, Weights & Biases, Time Series, Hadoop, Vue.js, Azure, Qdrant, Sales, Object Detection","role title; 4 retrieval/search skills; 2 production hints","services-only career","0.83","30.0","2026-03-02","",""
"CAND_0005649","Senior Data Scientist","7.4","Delhi, Delhi","India","Haystack, Redis, Prompt Engineering, Object Detection, Deep Learning, TensorFlow, Fine-tuning LLMs, Recommendation Systems, QLoRA, OpenCV, Semantic Search, Weaviate, scikit-learn, RAG","role title; 5 retrieval/search skills; 11 career IR hints; 7 production hints","no major structural concern","0.57","90.0","2026-04-14","",""
"CAND_0088753","Business Analyst","6.8","Pune, Maharashtra","India","Spring Boot, AWS, Django, Kafka, FastAPI, ETL, LLMs, Prompt Engineering, LangChain, RAG, Vector Search, Recommendation Systems, FAISS, Fine-tuning LLMs","5 retrieval/search skills; 1 career IR hints; 5 production hints","services-only career","0.54","60.0","2025-10-16","",""
"CAND_0005610","Project Manager","5.3","Kolkata, West Bengal","India","AWS, REST APIs, JavaScript, TypeScript, SEO, Marketing, Embeddings, Information Retrieval, RAG, Fine-tuning LLMs, Vector Search, FAISS, LLMs, Pinecone","7 retrieval/search skills; 1 career IR hints; 3 production hints","services-only career; low response","0.12","90.0","2025-10-28","",""
"CAND_0068160","Mechanical Engineer","7.2","Gurgaon, Haryana","India","Project Management, Go, Scrum, AWS, dbt, GCP, MLOps, Agile, Node.js, Sentence Transformers, Semantic Search, LLMs, Pinecone, Vector Search","4 retrieval/search skills; 1 career IR hints; 5 production hints","services-only career","0.68","60.0","2026-05-18","",""
"CAND_0051630","Machine Learning Engineer","6.0","Kolkata, West Bengal","India","Elasticsearch, Hugging Face Transformers, BentoML, MLflow, Embeddings, Recommendation Systems, Machine Learning, Python, NLP, Excel, OpenSearch, GANs, LoRA, Sentence Transformers","role title; 6 retrieval/search skills; 6 career IR hints; 3 production hints","no major structural concern","0.51","90.0","2026-04-04","",""
"CAND_0058791","AI Research Engineer","4.1","Kolkata, West Bengal","India","LoRA, Weaviate, Fine-tuning LLMs, ASR, Qdrant, OpenCV, RAG, Statistical Modeling, React, NLP, Embeddings, Kubeflow, MLflow, Diffusion Models","role title; 5 retrieval/search skills; 1 career IR hints; 1 production hints","services-only career","0.41","60.0","2026-05-18","",""
"CAND_0088027","Business Analyst","3.5","San Francisco","USA","TypeScript, HTML, Accounting, Tailwind, Go, GCP, Content Writing, SEO, Terraform, Fine-tuning LLMs, RAG, Vector Search, LangChain, Recommendation Systems","7 retrieval/search skills; 1 career IR hints; 4 production hints","services-only career","0.65","60.0","2026-04-16","",""
"CAND_0019200","AI Research Engineer","7.0","Chennai, Tamil Nadu","India","Forecasting, BentoML, BM25, TTS, FAISS, OpenSearch, Hugging Face Transformers, Learning to Rank, BigQuery, Semantic Search, Object Detection, Time Series","role title; 5 retrieval/search skills; 1 career IR hints; 3 production hints","services-only career","0.66","90.0","2026-02-20","",""
"CAND_0066376","Applied ML Engineer","5.7","Mumbai, Maharashtra","India","Recommendation Systems, LoRA, Learning to Rank, LLMs, Fine-tuning LLMs, Deep Learning, NLP, Reinforcement Learning, Information Retrieval, Object Detection, BM25, PowerPoint, Time Series, FAISS","role title; 6 retrieval/search skills; 10 career IR hints; 2 production hints","no major structural concern","0.51","90.0","2026-05-03","",""
"CAND_0018742","Mechanical Engineer","1.6","Austin","USA","Sales, Apache Flink, Docker, BigQuery, REST APIs, ETL, Agile, Vector Search, LangChain, FAISS, Information Retrieval, Recommendation Systems, Pinecone, LLMs","6 retrieval/search skills; 1 career IR hints; 3 production hints","services-only career; long notice","0.36","150.0","2026-05-24","",""
"CAND_0031225","Mechanical Engineer","4.9","Jaipur, Rajasthan","India","Tailwind, AWS, Object Detection, Next.js, Docker, Apache Beam, RAG, Prompt Engineering, Fine-tuning LLMs, Semantic Search, Information Retrieval, Hugging Face Transformers, Vector Search, Recommendation Systems","5 retrieval/search skills; 1 career IR hints; 4 production hints","services-only career","0.76","90.0","2025-10-26","",""
"CAND_0080766","Staff Machine Learning Engineer","8.8","Coimbatore, Tamil Nadu","India","Search Backend, LoRA, Vue.js, Tally, Search & Discovery, MLOps, Search Infrastructure, MLflow, Open-source ML libraries, Information Retrieval Systems, Elasticsearch, Computer Vision, Deep Learning, Natural Language Processing","role title; 6 retrieval/search skills; 8 career IR hints; 9 production hints","no major structural concern","0.66","0.0","2026-04-09","",""
"CAND_0070202","Machine Learning Engineer","5.1","Jaipur, Rajasthan","India","Microservices, Object Detection, OpenCV, Embeddings, Qdrant, LoRA, Learning to Rank, Fine-tuning LLMs, Semantic Search, GANs, PyTorch, Weights & Biases, BM25, RAG","role title; 6 retrieval/search skills; 6 career IR hints; 4 production hints","no major structural concern","0.6","90.0","2026-05-20","",""
"CAND_0055905","Senior Machine Learning Engineer","8.1","London","UK","Elasticsearch, ASR, Hugging Face Transformers, Haystack, Speech Recognition, LangChain, Python, LLMs, OpenSearch, Fine-tuning LLMs, Information Retrieval, Embeddings, Vector Search","role title; 6 retrieval/search skills; 10 career IR hints; 8 production hints","no major structural concern","0.87","30.0","2026-05-17","",""
